ID,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS
36d5e8c0-550b-42ba-993e-354614d9c625,2002-05-28,,999-47-5418,,,,Azzie965,Kub800,,,,white,portuguese,F,Warrenship,148 Beer Common Mount Healthy Ohio 45231 US
66ade340-9e0e-4b4e-b5b5-b049c26424e2,2009-04-21,,999-83-3779,,,,Joslyn677,Stark857,,,,white,portuguese,F,Columbus,278 Green Pathway Ashland Ohio 44805 US
be7bf9b7-b4dc-4e23-a240-56637ed319d8,2003-12-09,,999-94-4140,,,,Malcom15,Runolfsdottir785,,,,white,american,M,Beavercreek,211 Welch Plaza Columbus Ohio 43002 US
072cdfd2-3b90-4936-9790-36fe8b5db23e,2015-02-28,,999-23-2922,,,,Jamel269,Marquardt819,,,,white,english,M,New Franklin,182 Mann Row Columbus Ohio 43002 US
c54d517c-fd31-4e97-865a-da36470082f5,2014-04-09,,999-88-4173,,,,Shena75,Larkin917,,,,white,swedish,F,Columbus,149 Trantow Plaza Dayton Ohio 45377 US
3b70a1b3-d692-4879-a957-027a0d9a6cbc,1979-12-05,,999-67-9905,S99942842,X8326375X,Mrs.,Fred155,Ledner144,,Franecki195,M,white,polish,F,Steubenville,971 Schoen Green Suite 14 Brooklyn Ohio 44102 US
160476f8-a6c1-4dd9-8277-c181364fbc87,1961-12-11,,999-96-5409,S99978079,X58633867X,Mr.,Tony646,Gottlieb798,,,M,white,irish,M,Akron,188 Metz Trafficway Dayton Ohio 45377 US
a092b948-2cb4-43b1-bfe3-dede6c91bdbc,1970-03-31,,999-41-7459,S99942963,X156166X,Mrs.,Cuc113,Swift555,,Homenick806,M,black,african,F,Brunswick,946 Rolfson Extension Unit 41 Union Ohio 45322 US
e0ce13bc-ca62-4feb-a2df-4991dd384c8e,1993-04-11,,999-72-6707,S99918399,X76697751X,Mr.,Santiago500,Batz141,,,,white,german,M,Columbus,911 Ritchie Stravenue Apt 5 Cleveland Ohio 44101 US
24cdd16a-d112-4ede-a32f-719a31557441,1989-03-14,,999-63-2175,S99977574,X69356572X,Mrs.,Bertie593,Jacobs452,,Huels583,M,white,german,F,Columbus,1080 Cummerata Station Apt 6 Bowling Green Ohio 43402 US
